Time,WW,WH,WR,WB,HH,HR,HB,RR,RB,BB
1,94,0,0,0,0,0,0,0,0,0
2,103,0,0,0,0,0,0,0,0,0
3,108,0,0,0,0,0,0,0,0,0
4,112,0,0,0,0,0,0,0,0,0
5,90,0,0,0,0,0,0,0,0,0
6,96,0,0,0,0,0,0,0,0,0
7,125,0,0,0,0,0,0,0,0,0
8,114,0,0,0,0,0,0,0,0,0
9,116,0,0,0,0,0,0,0,0,0
10,98,0,0,0,0,0,0,0,0,0
11,86,0,0,0,0,0,0,0,0,0
12,103,0,0,0,0,0,0,0,0,0
13,109,0,0,0,0,0,0,0,0,0
14,119,0,0,0,0,0,0,0,0,0
15,128,0,0,0,0,0,0,0,0,0
16,95,0,0,0,0,0,0,0,0,0
17,133,0,0,0,0,0,0,0,0,0
18,111,0,0,0,0,0,0,0,0,0
19,102,0,0,0,0,0,0,0,0,0
20,107,0,0,0,0,0,0,0,0,0
21,101,0,0,0,0,0,0,0,0,0
22,137,0,0,0,0,0,0,0,0,0
23,115,0,0,0,0,0,0,0,0,0
24,117,0,0,0,0,0,0,0,0,0
25,99,0,0,0,0,0,0,0,0,0
26,109,0,0,0,0,0,0,0,0,0
27,138,0,0,0,0,0,0,0,0,0
28,120,0,0,0,0,0,0,0,0,0
29,109,0,0,0,0,0,0,0,0,0
30,100,0,0,0,0,0,0,0,0,0
31,121,0,0,0,0,0,0,0,0,0
32,101,0,0,0,0,0,0,0,0,0
33,118,0,0,0,0,0,0,0,0,0
34,123,0,0,0,0,0,0,0,0,0
35,107,0,0,0,0,0,0,0,0,0
36,103,0,0,0,0,0,0,0,0,0
37,117,0,0,0,0,0,0,0,0,0
38,110,0,0,0,0,0,0,0,0,0
39,105,0,0,0,0,0,0,0,0,0
40,95,0,0,0,0,0,0,0,0,0
41,126,0,0,0,0,0,0,0,0,0
42,104,0,0,0,0,0,0,0,0,0
43,114,0,0,0,0,0,0,0,0,0
44,101,0,0,0,0,0,0,0,0,0
45,121,0,0,0,0,0,0,0,0,0
46,113,0,0,0,0,0,0,0,0,0
47,106,0,0,0,0,0,0,0,0,0
48,100,0,0,0,0,0,0,0,0,0
49,98,0,0,0,0,0,0,0,0,0
50,95,0,0,0,0,0,0,0,0,0
51,97,0,0,0,0,0,0,0,0,0
52,106,0,0,0,0,0,0,0,0,0
53,119,0,0,0,0,0,0,0,0,0
54,95,0,0,0,0,0,0,0,0,0
55,105,0,0,0,0,0,0,0,0,0
56,111,0,0,0,0,0,0,0,0,0
57,96,0,0,0,0,0,0,0,0,0
58,100,0,0,0,0,0,0,0,0,0
59,112,0,0,0,0,0,0,0,0,0
60,129,0,0,0,0,0,0,0,0,0
61,115,0,0,0,0,0,0,0,0,0
62,123,0,0,0,0,0,0,0,0,0
63,104,0,0,0,0,0,0,0,0,0
64,117,0,0,0,0,0,0,0,0,0
65,95,0,0,0,0,0,0,0,0,0
66,110,0,0,0,0,0,0,0,0,0
67,117,0,0,0,0,0,0,0,0,0
68,108,0,0,0,0,0,0,0,0,0
69,103,0,0,0,0,0,0,0,0,0
70,115,0,0,0,0,0,0,0,0,0
71,105,0,0,0,0,0,0,0,0,0
72,102,0,0,0,0,0,0,0,0,0
73,116,0,0,0,0,0,0,0,0,0
74,142,0,0,0,0,0,0,0,0,0
75,101,0,0,0,0,0,0,0,0,0
76,81,0,0,0,0,0,0,0,0,0
77,97,0,0,0,0,0,0,0,0,0
78,117,0,0,0,0,0,0,0,0,0
79,125,0,0,0,0,0,0,0,0,0
80,100,0,0,0,0,0,0,0,0,0
81,100,0,0,0,0,0,0,0,0,0
82,101,0,0,0,0,0,0,0,0,0
83,94,0,0,0,0,0,0,0,0,0
84,129,0,0,0,0,0,0,0,0,0
85,100,0,0,0,0,0,0,0,0,0
86,114,0,0,0,0,0,0,0,0,0
87,109,0,0,0,0,0,0,0,0,0
88,121,0,0,0,0,0,0,0,0,0
89,108,0,0,0,0,0,0,0,0,0
90,106,0,0,0,0,0,0,0,0,0
91,124,0,0,0,0,0,0,0,0,0
92,107,0,0,0,0,0,0,0,0,0
93,118,0,0,0,0,0,0,0,0,0
94,105,0,0,0,0,0,0,0,0,0
95,100,0,0,0,0,0,0,0,0,0
96,109,0,0,0,0,0,0,0,0,0
97,108,0,0,0,0,0,0,0,0,0
98,104,0,0,0,0,0,0,0,0,0
99,110,0,0,0,0,0,0,0,0,0
100,110,0,0,0,28,0,0,0,0,0
101,110,0,0,0,19,0,0,0,0,0
102,118,0,0,0,16,0,0,0,0,0
103,108,0,0,0,17,0,0,0,0,0
104,103,0,0,0,14,0,0,0,0,0
105,111,0,0,0,14,0,0,0,0,0
106,115,0,0,0,8,0,0,0,0,0
107,108,0,0,0,17,0,0,0,0,0
108,98,0,0,0,6,0,0,0,0,0
109,127,0,0,0,8,0,0,0,0,0
110,102,0,0,0,6,0,0,0,0,0
111,98,0,0,0,4,0,0,0,0,0
112,91,0,0,0,7,0,0,0,0,0
113,103,0,0,0,4,0,0,0,0,0
114,109,0,0,0,4,0,0,0,0,0
115,99,0,0,0,5,0,0,0,0,0
116,110,0,0,0,4,0,0,0,0,0
117,110,0,0,0,3,0,0,0,0,0
118,113,0,0,0,5,0,0,0,0,0
119,85,0,0,0,4,0,0,0,0,0
120,109,0,0,0,3,0,0,0,0,0
121,111,3,0,0,2,0,0,0,0,0
122,98,5,0,0,0,0,0,0,0,0
123,102,5,0,0,0,0,0,0,0,0
124,100,8,0,0,3,0,0,0,0,0
125,104,6,0,0,3,0,0,0,0,0
126,101,9,0,0,4,0,0,0,0,0
127,105,11,0,0,1,0,0,0,0,0
128,96,13,0,0,1,0,0,0,0,0
129,105,13,0,0,3,0,0,0,0,0
130,116,14,0,0,5,0,0,0,0,0
131,116,13,0,0,2,0,0,0,0,0
132,95,9,0,0,2,0,0,0,0,0
133,98,15,0,0,0,0,0,0,0,0
134,95,11,0,0,1,0,0,0,0,0
135,88,15,0,0,3,0,0,0,0,0
136,96,21,0,0,2,0,0,0,0,0
137,103,24,0,0,2,0,0,0,0,0
138,108,16,0,0,2,0,0,0,0,0
139,103,11,0,0,2,0,0,0,0,0
140,106,13,0,0,2,0,0,0,0,0
141,121,5,0,0,0,0,0,0,0,0
142,108,12,0,0,0,0,0,0,0,0
143,95,9,0,0,1,0,0,0,0,0
144,87,14,0,0,2,0,0,0,0,0
145,94,10,0,0,0,0,0,0,0,0
146,109,9,0,0,0,0,0,0,0,0
147,85,13,0,0,0,0,0,0,0,0
148,95,13,0,0,0,0,0,0,0,0
149,91,8,0,0,0,0,0,0,0,0
150,95,13,0,0,35,0,0,0,0,0
151,106,13,0,0,18,0,0,0,0,0
152,85,11,0,0,20,0,0,0,0,0
153,108,9,0,0,10,0,0,0,0,0
154,99,19,0,0,20,0,0,0,0,0
155,96,15,0,0,18,0,0,0,0,0
156,101,13,0,0,14,0,0,0,0,0
157,85,13,0,0,8,0,0,0,0,0
158,108,16,0,0,11,0,0,0,0,0
159,88,15,0,0,14,0,0,0,0,0
160,84,18,0,0,9,0,0,0,0,0
161,84,25,0,0,6,0,0,0,0,0
162,93,13,0,0,9,0,0,0,0,0
163,80,20,0,0,7,0,0,0,0,0
164,89,20,0,0,7,0,0,0,0,0
165,93,12,0,0,7,0,0,0,0,0
166,78,26,0,0,7,0,0,0,0,0
167,82,16,0,0,6,0,0,0,0,0
168,101,17,0,0,7,0,0,0,0,0
169,81,20,0,0,3,0,0,0,0,0
170,83,16,0,0,8,0,0,0,0,0
171,86,22,0,0,9,0,0,0,0,0
172,81,27,0,0,3,0,0,0,0,0
173,66,22,0,0,5,0,0,0,0,0
174,85,26,0,0,7,0,0,0,0,0
175,63,31,0,0,10,0,0,0,0,0
176,75,25,0,0,6,0,0,0,0,0
177,79,32,0,0,2,0,0,0,0,0
178,80,32,0,0,4,0,0,0,0,0
179,78,30,0,0,2,0,0,0,0,0
180,63,34,0,0,4,0,0,0,0,0
181,81,32,0,0,5,0,0,0,0,0
182,74,39,0,0,7,0,0,0,0,0
183,71,28,0,0,3,0,0,0,0,0
184,70,34,0,0,4,0,0,0,0,0
185,53,37,0,0,7,0,0,0,0,0
186,66,26,0,0,4,0,0,0,0,0
187,77,32,0,0,0,0,0,0,0,0
188,78,20,0,0,4,0,0,0,0,0
189,59,33,0,0,5,0,0,0,0,0
190,65,33,0,0,10,0,0,0,0,0
191,78,46,0,0,5,0,0,0,0,0
192,68,31,0,0,4,0,0,0,0,0
193,65,27,0,0,7,0,0,0,0,0
194,48,33,0,0,6,0,0,0,0,0
195,72,40,0,0,5,0,0,0,0,0
196,69,35,0,0,5,0,0,0,0,0
197,68,39,0,0,4,0,0,0,0,0
198,61,37,0,0,10,0,0,0,0,0
199,70,43,0,0,2,0,0,0,0,0
200,66,41,0,0,29,0,0,0,0,0
201,61,44,0,0,19,0,0,0,0,0
202,51,44,0,0,32,0,0,0,0,0
203,66,34,0,0,27,0,0,0,0,0
204,62,30,0,0,18,0,0,0,0,0
205,57,44,0,0,23,0,0,0,0,0
206,80,38,0,0,22,0,0,0,0,0
207,54,46,0,0,19,0,0,0,0,0
208,54,35,0,0,25,0,0,0,0,0
209,54,44,0,0,12,0,0,0,0,0
210,58,46,0,0,12,0,0,0,0,0
211,58,46,0,0,24,0,0,0,0,0
212,49,55,0,0,17,0,0,0,0,0
213,38,37,0,0,21,0,0,0,0,0
214,54,54,0,0,18,0,0,0,0,0
215,57,46,0,0,12,0,0,0,0,0
216,54,37,0,0,13,0,0,0,0,0
217,53,40,0,0,14,0,0,0,0,0
218,41,47,0,0,14,0,0,0,0,0
219,43,54,0,0,13,0,0,0,0,0
220,44,45,0,0,18,0,0,0,0,0
221,40,51,0,0,24,0,0,0,0,0
222,41,58,0,0,16,0,0,0,0,0
